family	bionomial_name
Acanthamoebidae	Acanthamoeba polyphaga
Acaridae	Acarus siro
Acaryochloridaceae	Acaryochloris marina
Eubacteriaceae	Acetobacterium bakii
Eubacteriaceae	Acetobacterium fimetarium
Eubacteriaceae	Acetobacterium paludosum
Eubacteriaceae	Acetobacterium tundrae
Sulfolobaceae	Acidianus brierleyi
Sulfolobaceae	Acidianus brierleyi
Acidilobaceae	Acidilobus aceticus
Acidimicrobiaceae	Acidimicrobium ferrooxidans
Acidithiobacillaceae	Acidithiobacillus caldus
Acidithiobacillaceae	Acidithiobacillus ferridurans
Acidithiobacillaceae	Acidithiobacillus ferrivorans
Acidithiobacillaceae	Acidithiobacillus ferrooxidans
Acidithiobacillaceae	Acidithiobacillus thiooxidans
Acidothermaceae	Acidothermus cellulolyticus
Acidothermaceae	Acidothermus cellulolyticus
Acidothermaceae	Acidothermus cellulolyticus
Moraxellaceae	Acinetobacter calcoaceticus
Chydoridae	Acroperus harpae
Aphididae	Acyrthosiphon kondoi
Aphididae	Acyrthosiphon pisum
Aphididae	Acyrthosiphon pisum
Tortricidae	Adoxophyes orana
Aeromonadaceae	Aeromonas hydrophila
Aeromonadaceae	Aeromonas hydrophila
Aeromonadaceae	Aeromonas hydrophila
Aeromonadaceae	Aeromonas hydrophila
Aeromonadaceae	Aeromonas hydrophila
Aeromonadaceae	Aeromonas salmonicida
Aeromonadaceae	Aeromonas shigelloides
Aeromonadaceae	Aeromonas shigelloides
Desulfurococcaceae	Aeropyrum camini
Desulfurococcaceae	Aeropyrum pernix
Acaridae	Aleuroglyphus ovatus
Alicyclobacillaceae	Alicyclobacillus acidocaldarius
Alicyclobacillaceae	Alicyclobacillus acidocaldarius
Alicyclobacillaceae	Alicyclobacillus acidocaldarius
Alicyclobacillaceae	Alicyclobacillus acidocaldarius
Alicyclobacillaceae	Alicyclobacillus acidoterrestris
Alicyclobacillaceae	Alicyclobacillus hesperidum
Alicyclobacillaceae	Alicyclobacillus sp.
Alicyclobacillaceae	Alicyclobacillus sp.
Carnobacteriaceae	Alkalibacterium iburiense
Carnobacteriaceae	Alkalibacterium iburiense
Carnobacteriaceae	Alkalibacterium iburiense
Carnobacteriaceae	Alkalibacterium psychrotolerans
Clostridiaceae	Alkaliphilus transvaalensis
Chydoridae	Alona affinis
Alteromonadaceae	Alteromonas haloplanctis
Phytoseiidae	Amblyseius womersleyi
Platygastridae	Amitus fuscipennis
Platygastridae	Amitus fuscipennis
Platygastridae	Amitus fuscipennis
Thermoanaerobacteraceae	Ammonifex degensii
Amoebidae	Amoeba algonquinensis
Bacillaceae	Amphibacillus fermentum
Bacillaceae	Amphibacillus tropicus
Amphipleuraceae	Amphiprora sp.
Nostocaceae	Anabaena variabilis
