family	bionomial_name
Synechococcaceae	Anacystis nidulans
Synergistaceae	Anaerobaculum mobile
Proteinivoraceae	Anaerobranca gottschalkii
Proteinivoraceae	Anaerobranca horikoshii
Bacillaceae	Anoxybacillus pushchinensis
Clostridiaceae	Anoxynatronum sibiricum
Aphelinidae	Aphelinus semiflavus
Aphididae	Aphis citricola
Aphididae	Aphis gossypii
Aphididae	Aphis gossypii
Aphididae	Aphis gossypii
Aphididae	Aphis gossypii
Aphididae	Aphis gossypii
Aphididae	Aphis gossypii
Aphididae	Aphis nasturti
Aphididae	Aphis punicae
Aphididae	Aphis spiraecola
Archaeoglobaceae	Archaeoglobus profundus
Archaeoglobaceae	Archaeoglobus veneficus
Campylobacteraceae	Arcobacter sp.
Artemiidae	Artemia franciscana
Artemiidae	Artemia franciscana
Artemiidae	Artemia persimilis
Artemiidae	Artemia persimilis
Artemiidae	Artemia salina
Artemiidae	Artemia salina
Artemiidae	Artemia sinica
Micrococcaceae	Arthrobacter glacialis
Micrococcaceae	Arthrobacter glacialis
Micrococcaceae	Arthrobacter sp.
Micrococcaceae	Arthrobacter sp.
Aspergillaceae	Aspergillus candidus
Aspergillaceae	Aspergillus nidulans
Aspergillaceae	Aspergillus nidulans
Fragilariaceae	Asterionella formosa
Aphididae	Aulacorthum solani
Bacillaceae	Bacillus beveridgei
Bacillaceae	Bacillus caldotenax
Bacillaceae	Bacillus caldotenax
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus cereus
Bacillaceae	Bacillus circulans
Bacillaceae	Bacillus coagulans
Bacillaceae	Bacillus coagulans
Bacillaceae	Bacillus coagulans
Bacillaceae	Bacillus halodenitrificans
Bacillaceae	Bacillus infernus
Bacillaceae	Bacillus infernus
Bacillaceae	Bacillus laterosporus
Bacillaceae	Bacillus megaterium
Bacillaceae	Bacillus sp.
Bacillaceae	Bacillus sp.
Bacillaceae	Bacillus sp.
Bacillaceae	Bacillus sp.
Bacillaceae	Bacillus sp.
Bacillaceae	Bacillus sp.(LCB41)
Bacillaceae	Bacillus subtilis
Bacillaceae	Bacillus subtilis
Bacillaceae	Bacillus subtilis
Bacillaceae	Bacillus subtilis
Tephritidae	Bactrocera cucurbitae
Tephritidae	Bactrocera dorsalis
Tephritidae	Bactrocera dorsalis
Tephritidae	Bactrocera latifrons
Desulfurobacteriaceae	Balnearium lithotrophicum
Balneolaceae	Balneola alkaliphila
Balneolaceae	Balneola vulgaris
Aleyrodidae	Bemisia argentifolii
Aleyrodidae	Bemisia argentifolii
Aleyrodidae	Bemisia tabaci
Brachionidae	Brachionus patulus
Brachionidae	Brachionus plicatilis
Pichiaceae	Brettanomyces bruxellensis
Aphididae	Brevicoryne brassicae
Listeriaceae	Brochothrix thermosphacta
Listeriaceae	Brochothrix thermosphacta
Listeriaceae	Brochothrix thermosphacta
Listeriaceae	Brochothrix thermosphacta
Thermoanaerobacterales	Caldicellulosiruptor acetigenus
Thermoanaerobacterales	Caldicellulosiruptor bescii
Thermoanaerobacterales	Caldicellulosiruptor changbaiensis
Thermoanaerobacterales	Caldicellulosiruptor lactoaceticus
Thermoanaerobacterales	Caldicellulosiruptor obsidiansis
Thermoanaerobacterales	Caldicellulosiruptor owensensis
Caldisericaceae	Caldisericum exile
Thermoproteaceae	Caldivirga maquilingensis
Chrysomelidae	Callosobruchus analis
Chrysomelidae	Callosobruchus chinensis
Chrysomelidae	Callosobruchus maculatus
Chrysomelidae	Callosobruchus maculatus
Chrysomelidae	Callosobruchus maculatus
Chrysomelidae	Callosobruchus rhodesianus
Clostridiaceae	Caloramator boliviensis
Clostridiaceae	Caloramator indicus
Clostridiaceae	Caloramator viterbensis
Clostridiaceae	Caloranaerobacter azorensis
Nautiliaceae	Caminibacter hydrogeniphilus
Campylobacteraceae	Campylobacter jejuni
Campylobacteraceae	Campylobacter jejuni
Saccharomycetaceae	Candia sphaerica
Saccharomycetaceae	Candida curiosa
Saccharomycetaceae	Candida sphaerica
Saccharomycetaceae	Candida stellata
Saccharomycetaceae	Candida valida
Cellulomonadaceae	Cellulomonas sp.
Tephritidae	Ceratitis capitata
Ceratiaceae	Ceratium furcoides
Daphniidae	Ceriodaphnia dubia
Chaetocerotaceae	Chaetoceros deflandrei
Chaetocerotaceae	Chaetoceros deflandrei
Chaetocerotaceae	Chaetoceros deflandrei
Chaetocerotaceae	Chaetoceros deflandrei
Chaetocerotaceae	Chaetoceros simplex
Chaetocerotaceae	Chaetoceros sp.
Chaetocerotaceae	Chaetoceros sp.
Cyclobacteriaceae	Chimaereicella alkaliphila
Cyclobacteriaceae	Chimaereicella alkaliphila
Cyclobacteriaceae	Chimaereicella alkaliphila
Chlamydomonadaceae	Chlamydomonas alpina
Chlamydomonadaceae	Chlamydomonas globosa
Chlamydomonadaceae	Chlamydomonas intermedia
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas raudensis
Chlamydomonadaceae	Chlamydomonas sp.
Chlamydomonadaceae	Chlamydomonas sp.
Chlamydomonadaceae	Chlamydomonas sp.
Chlamydomonadaceae	Chlamydomonas subcaudata
Oocystaceae	Chlorella pyrenoidosa
Oocystaceae	Chlorella pyrenoidosa
Oocystaceae	Chlorella pyrenoidosa
Oocystaceae	Chlorella pyrenoidosa
Oocystaceae	Chlorella sp.
Oocystaceae	Chlorella sp.
Oocystaceae	Chlorella sp.
Oocystaceae	Chlorella sp.
Oocystaceae	Chlorella vulgaris
Chlorobiaceae	Chlorobium tepidum
Chydoridae	Chydorus sphaericus
Enterobacteriaceae	Citrobacter intermedius
Coreidae	Clavigralla shadabi
Coreidae	Clavigralla tomentosicollis
Clostridiaceae	Clostridium algoriphilium
Clostridiaceae	Clostridium botulinum
Clostridiaceae	Clostridium botulinum
Clostridiaceae	Clostridium bowmanii
Clostridiaceae	Clostridium celevecrescens
Clostridiaceae	Clostridium estertheticum
Clostridiaceae	Clostridium frigoris
Clostridiaceae	Clostridium gasigenes
Clostridiaceae	Clostridium hastiforme
Clostridiaceae	Clostridium isatidis
Clostridiaceae	Clostridium lacusfryxellense
Clostridiaceae	Clostridium paradoxum
Clostridiaceae	Clostridium paradoxum
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium perfringens
Clostridiaceae	Clostridium psychrophilum
Clostridiaceae	Clostridium sp.
Clostridiaceae	Clostridium sp.
Clostridiaceae	Clostridium tagluense
Clostridiaceae	Clostridium termitidis
Clostridiaceae	Clostridium thermoalcaliphilum
Clostridiaceae	Clostridium thermobutyricum
Clostridiaceae	Clostridium thermohydrosulfuricum
Clostridiaceae	Clostridium thermosuccinogenes
Clostridiaceae	Clostridium thermosuccinogenes
Clostridiaceae	Clostridium thermosulfurogenes
Clostridiaceae	Clostridium thiosulfatireducens
Clostridiaceae	Clostridium vincentii
Clostridiaceae	Clostridiurn frigidicarnis
Vannellidae	Clydonella rosenfieldi
Cochliopodiidae	Cochliopodium minus
Colwelliaceae	Colwellia demingiae
Colwelliaceae	Colwellia hornerae
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia piezophila
Colwelliaceae	Colwellia psychotropica
Colwelliaceae	Colwellia psychrerythraea
Corethraceae	Corethron criophilum
Corethraceae	Corethron criophilum
Corethraceae	Corethron criophilum
Corethraceae	Corethron criophilum
Coscinodiscaceae	Coscinodiscus sp.
Braconidae	Cotesia flavipes
Braconidae	Cotesia sesamiae
Tremellaceae	Cryptococcus neoformus
Laemophloeidae	Cryptolestes ferrugineus
Laemophloeidae	Cryptolestes ferrugineus
Laemophloeidae	Cryptolestes ferrugineus
Cryptomonadaceae	Cryptomonas marssonii
Cyanidiaceae	Cyanidium caldarium
Cyanidiaceae	Cyanidium caldarium
Stephanodiscaceae	Cyclotella cryptica
Stephanodiscaceae	Cyclotella nana
Stephanodiscaceae	Cyclotella nana
Stephanodiscaceae	Cyclotella nana
Stephanodiscaceae	Cyclotella nana
Stephanodiscaceae	Cyclotella nana
Dactylopiidae	Dactylopius austrinus
Daphniidae	Daphnia magna
Daphniidae	Daphnia parvula
Daphniidae	Daphnia parvula
Daphniidae	Daphnia parvula
Daphniidae	Daphnia parvula
Daphniidae	Daphnia parvula
Deferribacteraceae	Deferribacter thermophilus
Deinococcaceae	Deinococcus geothermalis
Deinococcaceae	Deinococcus murrayi
Peptococcaceae	Desulfitobacterium dehalogenans
Desulfobacteraceae	Desulfobacter curvatus
Desulfobacteraceae	Desulfobacter psychrotolerans
Desulfobacteraceae	Desulfobacterium autotrophicum
Desulfobacteraceae	Desulfofaba gelida
Desulfobacteraceae	Desulfofrigus fragile
Desulfobacteraceae	Desulfofrigus marinus
Desulfomicrobiaceae	Desulfomicrobium thermophilum
Desulfobulbaceae	Desulforhopalus species
Desulfobulbaceae	Desulfotalea arctica
Desulfobulbaceae	Desulfotalea psychrophila
Peptococcaceae	Desulfotomaculum alkaliphilum
Peptococcaceae	Desulfotomaculum geothermicum
Peptococcaceae	Desulfotomaculum putei
Desulfovibrionaceae	Desulfovibrio capillatus
Desulfovibrionaceae	Desulfovibrio cuneatus
Desulfovibrionaceae	Desulfovibrio cuneatus
Desulfovibrionaceae	Desulfovibrio dechloracetivorans
Desulfovibrionaceae	Desulfovibrio litoralis
Desulfurobacteriaceae	Desulfurobacterium crinifex
Desulfurobacteriaceae	Desulfurobacterium thermolithotrophum
Desulfurococcaceae	Desulfurococcus strain
Desulfurococcaceae	Desulfurococcus strain
Sulfolobaceae	Desulfurolobus ambivalens
Synergistaceae	Dethiosulfovibrio peptidovorans
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Thalassiosiraceae	Detonula confervacea
Psyllidae	Diaphorina citri
Crambidae	Diatraea lineolata
Dictyoglomaceae	Dictyoglomus sp.
Dictyoglomaceae	Dictyoglomus thermophilum
Dinobryaceae	Dinobryon divergens
Lithodesmiaceae	Ditylum brightwellii
Echinamoebidae	Echinamoeba thermarum
Gammaridae	Echinogammarus marinus
Gammaridae	Echinogammarus marinus
Gammaridae	Echinogammarus marinus
Gammaridae	Echinogammarus marinus
Pyralidae	Elasmopalpus lignosellus
Aphelinidae	Encarsia formosa
Enterococcaceae	Enterococcus faecalis
Enterococcaceae	Enterococcus faecalis
Enterococcaceae	Enterococcus faecalis
Enterococcaceae	Enterococcus faecalis
Enterococcaceae	Enterococcus faecium
Enterococcaceae	Enterococcus faecium
Enterococcaceae	Enterococcus faecium
Enterococcaceae	Enterococcus faecium
Enterococcaceae	Enterococcus sp.
Enterococcaceae	Enterococcus sp.
Enterococcaceae	Enterococcus sp.
Enterococcaceae	Enterococcus sp.
Pemphigidae	Eriosoma lanigerum
Erwiniaceae	Erwinia amylovora
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Enterobacteriaceae	Escherichia coli
Eurycercidae	Eurycercus lamellatus
Phytoseiidae	Euseius finlandicus
Archaeoglobaceae	Ferroglobus placidus
Ferroplasmaceae	Ferroplasma acidiphilum
Ferroplasmaceae	Ferroplasma cyprexacervatum
Fervidobacteriaceae	Fervidobacterium pennivorans
Flavobacteriaceae	Flavobacterium antarcticum
Flavobacteriaceae	Flavobacterium hibernum
Flavobacteriaceae	Flavobacterium limicola
Flavobacteriaceae	Flavobacterium segetis
Flavobacteriaceae	Flavobacterium weaverense
Deferribacteraceae	Flexistipes sinusarabici
Thripidae	Frankliniella occidentalis
Clostridiales	Fusibacter paucivorans
Piscirickettsiaceae	Galenea microaerophila
Flavobacteriaceae	Gelidibacter sp.
Bacillaceae	Geobacillus sp.
Bacillaceae	Geobacillus sp.
Bacillaceae	Geobacillus sp.
Bacillaceae	Geobacillus sp.
Bacillaceae	Geobacillus stearothermophilus
Bacillaceae	Geobacillus stearothermophilus
Bacillaceae	Geobacillus thermoleovorans
Archaeoglobaceae	Geoglobus ahangari
Thermodesulfobacteriaceae	Geothermobacterium ferrireducens
Thermotogaceae	Geotoga petraea
Thermotogaceae	Geotoga subterranea
Alteromonadaceae	Glaciecola punicea
Hartmannellidae	Glaeseria mira
Globigerinidae	Globigerina bulloides
Globigerinidae	Globigerinella siphonifera
Globigerinidae	Globigerinoides ruber
Globigerinidae	Globigerinoides sacculifer
Gonyaulacaceae	Gonyaulax tamarensis
Chydoridae	Graptoleberis testudinaria
Halieaceae	Haliea rubra
Halieaceae	Haliea salexigens
Halobacteroidaceae	Haloanaerobacter chitinovorans
Halobacteroidaceae	Haloanaerobacter chitinovorans
Halanaerobiaceae	Haloanaerobium alcaliphilum
Halanaerobiaceae	Haloanaerobium lacusroseus
Halanaerobiaceae	Haloanaerobium praevalens
Haloanaerobiacea	Haloanaerobiurn salsugo
Haloarculaceae	Haloarcula vallismortis
Halobacteriaceae	Halobacterium salinarum
Halobacteroidaceae	Halobacteroides acetoethylicus
Halobacteroidaceae	Halobacteroides halobius
Halobacteroidaceae	Halobacteroides halobius
Halorubraceae	Halobaculum gomorrense
Halococcaceae	Halococcus morrhuae
Haloferacaceae	Haloferax volcanii
Haloferacaceae	Halogeometricum borinquense
Leptolyngbyaceae	Halomicronema excentricum
Leptolyngbyaceae	Halomicronema excentricum
Leptolyngbyaceae	Halomicronema excentricum
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas elongata
Halomonadaceae	Halomonas kenyensis
Halomonadaceae	Halomonas mongoliensis
Halobacteroidaceae	Halonatronum saccharophilum
Halorubraceae	Halorubrum lacusprofundi
Halorubraceae	Halorubrum lacusprofundi
Halorubraceae	Halorubrum saccharovorum
Natrialbaceae	Haloterrigena turkmenica
Saccharomycodaceae	Hanseniaspora uvarum
Bacillariaceae	Hantzschia amphyoxis
Heliobacteriaceae	Heliobacterium mobilis
Heliobacteriaceae	Heliobacterium modesticaldum
Oxalobacteraceae	Herminiimonas sp.
Aphididae	Hyadaphis foeniculi
Aphididae	Hyadaphis pseudobrassicae
Hyalellidae	Hyalella azteca
Hydrogenimonaceae	Hydrogenimonas thermophila
Aquificaceae	Hydrogenivirga caldilitoris
Aquificaceae	Hydrogenobacter acidophilus
Aquificaceae	Hydrogenobacter hydrogenophilus
Aquificaceae	Hydrogenobacter subterraneus
Aquificaceae	Hydrogenobacter thermophilus
Hydrogenophilaceae	Hydrogenophilus hirschii
Coccinellidae	Hyperaspis notata
Aphididae	Hyperomyzus lactucae
Laelapidae	Hypoaspis miles
Curculionidae	Hypothenemus hampei
Desulfurococcaceae	Ignicoccus hospitalis
Phytoseiidae	Iphiseius degenerans
Isochrysidaceae	Isochrysis galbana
Isosphaeraceae	Isosphaera pallida
Brachionidae	Keratella cochlearis
Enterobacteriaceae	Klebsiella oxytoca
Enterobacteriaceae	Klebsiella pneumoniae
Enterobacteriaceae	Klebsiella pneumoniae
Klebsormidiaceae	Klebsormidium sp.
Saccharomycetaceae	Kluyveromyces battae
Saccharomycetaceae	Kluyveromyces blattae
Saccharomycetaceae	Kluyveromyces marxianus
Saccharomycetaceae	Kluyveromyces marxianus
Saccharomycetaceae	Kluyveromyces thermotolerans
Saccharomycetaceae	Kluyveromyces thermotolerans
Kosmotogaceae	Kosmotoga arenicorallina
Kosmotogaceae	Kosmotoga olearia
Lactobacillaceae	Lactobacillus thermotolerans
Streptococcaceae	Lactococcus paracasei
Streptococcaceae	Lactococcus piscium
Latridae	Latris lineata
Nautiliaceae	Lebetimonas acidiphila
Leptocylindraceae	Leptocylindrus danicus
Nitrospiraceae	Leptospirillum ferriphilum
Nitrospiraceae	Leptospirillum ferrooxidans
Liposcelidae	Liposcelis badia
Liposcelidae	Liposcelis bostrychophila
Liposcelidae	Liposcelis entomophila
Liposcelidae	Liposcelis paeta
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Listeriaceae	Listeria monocytogenes
Miridae	Macrolophus pygmaeus
Miridae	Macrolophus pygmaeus
Philodinidae	Macrotrachela quadricornifra
Philodinidae	Macrotrachela quadricornifra
Philodinidae	Macrotrachela quadricornifra
Philodinidae	Macrotrachela quadricornifra
Philodinidae	Macrotrachela quadricornifra
Rhodospirillaceae	Magnetospirillum bellicus
Rhodospirillaceae	Magnetospirillum bellicus
Carnobacteriaceae	Marinilactibacillus psychrotolerans
Thermaceae	Marinithermus hydrothermalis
Thermotogaceae	Marinitoga okinawensis
Thermotogaceae	Marinitoga piezophila
Thermotogaceae	Marinitoga piezophila
Thermotogaceae	Marinitoga piezophila
Alteromonadaceae	Marinobacter alkaliphilus
Thermaceae	Meiothermus cerberus
Spongiibacteraceae	Melitea salexigens
Sulfolobaceae	Metallosphaera prunae
Sulfolobaceae	Metallosphaera sedula
Methanobacteriaceae	Methanobacterium Bryantii
Methanobacteriaceae	Methanobacterium defluvii
Methanobacteriaceae	Methanobacterium espanolae
Methanobacteriaceae	Methanobacterium ferruginis
Methanobacteriaceae	Methanobacterium flexile
Methanobacteriaceae	Methanobacterium kanagiense
Methanobacteriaceae	Methanobacterium movens
Methanobacteriaceae	Methanobacterium palustre
Methanobacteriaceae	Methanobacterium petrolearium
Methanobacteriaceae	Methanobacterium subterraneum
Methanobacteriaceae	Methanobacterium thermoaggregans
Methanobacteriaceae	Methanobacterium thermoautotrophicum
Methanobacteriaceae	Methanobacterium thermoautotrophicum
Methanobacteriaceae	Methanobacterium thermoautotrophicum
Methanobacteriaceae	Methanobacterium thermoflexum
Methanobacteriaceae	Methanobacterium veterum
Methanocalculaceae	Methanocalculus halotolerans
Methanocalculaceae	Methanocalculus taiwanensis
Methanocalculaceae	Methanocalculus taiwanensis
Methanosarcinaceae	Methanococcoides alaskense
Methanosarcinaceae	Methanococcoides burtonii
Methanosarcinaceae	Methanococcoides methylutens
Methanococcaceae	Methanococcus aeolicus
Methanococcaceae	Methanococcus deltae
Methanococcaceae	Methanococcus igneus
Methanococcaceae	Methanococcus infernus
Methanococcaceae	Methanococcus jannaschii
Methanococcaceae	Methanococcus maripaludis
Methanococcaceae	Methanococcus olentangyi
Methanococcaceae	Methanococcus thermolithotrophic
Methanococcaceae	Methanococcus voltae
Methanococcaceae	Methanococcus vulcanius
Methanocorpusculaceae	Methanocorpusculum bavaricum
Methanocorpusculaceae	Methanocorpusculum labreanum
Methanocorpusculaceae	Methanocorpusculum sinsese
Methanomicrobiaceae	Methanoculleus chikugoensis
Methanomicrobiaceae	Methanoculleus marisnigri
Methanomicrobiaceae	Methanoculleus marisnigri
Methanomicrobiaceae	Methanoculleus palmolei
Methanomicrobiaceae	Methanoculleus submarinus
Methanomicrobiaceae	Methanofollis aquaemaris
Methanomicrobiaceae	Methanofollis aquaemaris
Methanomicrobiaceae	Methanogenium cariaci
Methanomicrobiaceae	Methanogenium cariaci
Methanomicrobiaceae	Methanogenium frigidum
Methanomicrobiaceae	Methanogenium frittonii
Methanomicrobiaceae	Methanogenium marinum
Methanomicrobiaceae	Methanogenium marisnigri
Methanomicrobiaceae	Methanogenium tatii
Methanomicrobiaceae	Methanogenium thermophilicum
Methanomicrobiaceae	Methanogenium thermophilicum
Methanosarcinaceae	Methanohalophilus oregonense
Methanosarcinaceae	Methanohalophilus portucalensis
Methanosarcinaceae	Methanohalophilus portucalensis
Methanosarcinaceae	Methanohalophilus portucalensis
Methanosarcinaceae	Methanohalophilus portucalensis
Methanosarcinaceae	Methanohalophilus portucalensis
Methanosarcinaceae	Methanolobus bombayensis
Methanosarcinaceae	Methanolobus chelungpuianus
Methanosarcinaceae	Methanolobus psychrophilus
Methanosarcinaceae	Methanolobus siciliae
Methanosarcinaceae	Methanolobus siciliae
Methanosarcinaceae	Methanolobus zinderi
Methanomicrobiaceae	Methanomicrobium paynteri
Methanosarcinaceae	Methanomicrococcus blatticola
Methanopyraceae	Methanopyrus kandleri
Methanopyraceae	Methanopyrus kandleri
Methanopyraceae	Methanopyrus kandleri
Methanopyraceae	Methanopyrus sp.
Methanosarcinaceae	Methanosarcina acetivorans
Methanosarcinaceae	Methanosarcina baltica
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina barkeri
Methanosarcinaceae	Methanosarcina lacustris
Methanosarcinaceae	Methanosarcina mazel
Methanosarcinaceae	Methanosarcina mazel
Methanosarcinaceae	Methanosarcina mazel
Methanosarcinaceae	Methanosarcina semesiae
Methanosarcinaceae	Methanosarcina semesiae
Methanosarcinaceae	Methanosarcina semesiae
Methanosarcinaceae	Methanosarcina siciliae
